,date,country,area,mtu,price(currency/mwh),price(eur/mwh)
1,11.12.2022,Austria,BZN DE-AT-LU,01:00 - 02:00,,
2,11.12.2022,Austria,BZN DE-AT-LU,02:00 - 03:00,,
3,11.12.2022,Austria,BZN DE-AT-LU,03:00 - 04:00,,
4,11.12.2022,Austria,BZN DE-AT-LU,04:00 - 05:00,,
5,11.12.2022,Austria,BZN DE-AT-LU,05:00 - 06:00,,
6,11.12.2022,Austria,BZN DE-AT-LU,06:00 - 07:00,,
7,11.12.2022,Austria,BZN DE-AT-LU,07:00 - 08:00,,
8,11.12.2022,Austria,BZN DE-AT-LU,08:00 - 09:00,,
9,11.12.2022,Austria,BZN DE-AT-LU,09:00 - 10:00,,
10,11.12.2022,Austria,BZN DE-AT-LU,10:00 - 11:00,,
11,11.12.2022,Austria,BZN DE-AT-LU,11:00 - 12:00,,
12,11.12.2022,Austria,BZN DE-AT-LU,12:00 - 13:00,,
13,11.12.2022,Austria,BZN DE-AT-LU,13:00 - 14:00,,
14,11.12.2022,Austria,BZN DE-AT-LU,14:00 - 15:00,,
15,11.12.2022,Austria,BZN DE-AT-LU,15:00 - 16:00,,
16,11.12.2022,Austria,BZN DE-AT-LU,16:00 - 17:00,,
17,11.12.2022,Austria,BZN DE-AT-LU,17:00 - 18:00,,
18,11.12.2022,Austria,BZN DE-AT-LU,18:00 - 19:00,,
19,11.12.2022,Austria,BZN DE-AT-LU,19:00 - 20:00,,
20,11.12.2022,Austria,BZN DE-AT-LU,20:00 - 21:00,,
21,11.12.2022,Austria,BZN DE-AT-LU,21:00 - 22:00,,
22,11.12.2022,Austria,BZN DE-AT-LU,22:00 - 23:00,,
23,11.12.2022,Austria,BZN DE-AT-LU,23:00 - 00:00,,
0,11.12.2022,Belgium,BZN BE,00:00 - 01:00,,307.81
1,11.12.2022,Belgium,BZN BE,01:00 - 02:00,,303.77
2,11.12.2022,Belgium,BZN BE,02:00 - 03:00,,297.66
3,11.12.2022,Belgium,BZN BE,03:00 - 04:00,,281.47
4,11.12.2022,Belgium,BZN BE,04:00 - 05:00,,277.32
5,11.12.2022,Belgium,BZN BE,05:00 - 06:00,,275.34
6,11.12.2022,Belgium,BZN BE,06:00 - 07:00,,283.66
7,11.12.2022,Belgium,BZN BE,07:00 - 08:00,,293.8
8,11.12.2022,Belgium,BZN BE,08:00 - 09:00,,300.16
9,11.12.2022,Belgium,BZN BE,09:00 - 10:00,,321.03
10,11.12.2022,Belgium,BZN BE,10:00 - 11:00,,340.01
11,11.12.2022,Belgium,BZN BE,11:00 - 12:00,,344.84
12,11.12.2022,Belgium,BZN BE,12:00 - 13:00,,348.45
13,11.12.2022,Belgium,BZN BE,13:00 - 14:00,,324.74
14,11.12.2022,Belgium,BZN BE,14:00 - 15:00,,328.26
15,11.12.2022,Belgium,BZN BE,15:00 - 16:00,,336.51
16,11.12.2022,Belgium,BZN BE,16:00 - 17:00,,361.6
17,11.12.2022,Belgium,BZN BE,17:00 - 18:00,,413.94
18,11.12.2022,Belgium,BZN BE,18:00 - 19:00,,433.5
19,11.12.2022,Belgium,BZN BE,19:00 - 20:00,,417.67
20,11.12.2022,Belgium,BZN BE,20:00 - 21:00,,390.0
21,11.12.2022,Belgium,BZN BE,21:00 - 22:00,,335.35
22,11.12.2022,Belgium,BZN BE,22:00 - 23:00,,331.89
23,11.12.2022,Belgium,BZN BE,23:00 - 00:00,,312.99
0,11.12.2022,Bosnia and Herz.,BZN BA,00:00 - 01:00,,
1,11.12.2022,Bosnia and Herz.,BZN BA,01:00 - 02:00,,
2,11.12.2022,Bosnia and Herz.,BZN BA,02:00 - 03:00,,
3,11.12.2022,Bosnia and Herz.,BZN BA,03:00 - 04:00,,
4,11.12.2022,Bosnia and Herz.,BZN BA,04:00 - 05:00,,
5,11.12.2022,Bosnia and Herz.,BZN BA,05:00 - 06:00,,
6,11.12.2022,Bosnia and Herz.,BZN BA,06:00 - 07:00,,
7,11.12.2022,Bosnia and Herz.,BZN BA,07:00 - 08:00,,
8,11.12.2022,Bosnia and Herz.,BZN BA,08:00 - 09:00,,
9,11.12.2022,Bosnia and Herz.,BZN BA,09:00 - 10:00,,
10,11.12.2022,Bosnia and Herz.,BZN BA,10:00 - 11:00,,
11,11.12.2022,Bosnia and Herz.,BZN BA,11:00 - 12:00,,
12,11.12.2022,Bosnia and Herz.,BZN BA,12:00 - 13:00,,
13,11.12.2022,Bosnia and Herz.,BZN BA,13:00 - 14:00,,
14,11.12.2022,Bosnia and Herz.,BZN BA,14:00 - 15:00,,
15,11.12.2022,Bosnia and Herz.,BZN BA,15:00 - 16:00,,
16,11.12.2022,Bosnia and Herz.,BZN BA,16:00 - 17:00,,
17,11.12.2022,Bosnia and Herz.,BZN BA,17:00 - 18:00,,
18,11.12.2022,Bosnia and Herz.,BZN BA,18:00 - 19:00,,
19,11.12.2022,Bosnia and Herz.,BZN BA,19:00 - 20:00,,
20,11.12.2022,Bosnia and Herz.,BZN BA,20:00 - 21:00,,
21,11.12.2022,Bosnia and Herz.,BZN BA,21:00 - 22:00,,
22,11.12.2022,Bosnia and Herz.,BZN BA,22:00 - 23:00,,
23,11.12.2022,Bosnia and Herz.,BZN BA,23:00 - 00:00,,
0,11.12.2022,Bulgaria,BZN BG,00:00 - 01:00,,10.13
1,11.12.2022,Bulgaria,BZN BG,01:00 - 02:00,,1.0
2,11.12.2022,Bulgaria,BZN BG,02:00 - 03:00,,0.2
3,11.12.2022,Bulgaria,BZN BG,03:00 - 04:00,,0.2
4,11.12.2022,Bulgaria,BZN BG,04:00 - 05:00,,0.2
5,11.12.2022,Bulgaria,BZN BG,05:00 - 06:00,,0.2
6,11.12.2022,Bulgaria,BZN BG,06:00 - 07:00,,2.0
7,11.12.2022,Bulgaria,BZN BG,07:00 - 08:00,,15.0
8,11.12.2022,Bulgaria,BZN BG,08:00 - 09:00,,152.79
9,11.12.2022,Bulgaria,BZN BG,09:00 - 10:00,,152.8
10,11.12.2022,Bulgaria,BZN BG,10:00 - 11:00,,280.0
11,11.12.2022,Bulgaria,BZN BG,11:00 - 12:00,,174.67
12,11.12.2022,Bulgaria,BZN BG,12:00 - 13:00,,330.61
13,11.12.2022,Bulgaria,BZN BG,13:00 - 14:00,,324.74
14,11.12.2022,Bulgaria,BZN BG,14:00 - 15:00,,308.18
15,11.12.2022,Bulgaria,BZN BG,15:00 - 16:00,,336.51
16,11.12.2022,Bulgaria,BZN BG,16:00 - 17:00,,361.6
17,11.12.2022,Bulgaria,BZN BG,17:00 - 18:00,,413.94
18,11.12.2022,Bulgaria,BZN BG,18:00 - 19:00,,430.46
19,11.12.2022,Bulgaria,BZN BG,19:00 - 20:00,,413.2
20,11.12.2022,Bulgaria,BZN BG,20:00 - 21:00,,384.47
21,11.12.2022,Bulgaria,BZN BG,21:00 - 22:00,,335.35
22,11.12.2022,Bulgaria,BZN BG,22:00 - 23:00,,311.16
23,11.12.2022,Bulgaria,BZN BG,23:00 - 00:00,,183.58
0,11.12.2022,Croatia,BZN HR,00:00 - 01:00,,32.42
1,11.12.2022,Croatia,BZN HR,01:00 - 02:00,,1.08
2,11.12.2022,Croatia,BZN HR,02:00 - 03:00,,1.03
3,11.12.2022,Croatia,BZN HR,03:00 - 04:00,,1.02
4,11.12.2022,Croatia,BZN HR,04:00 - 05:00,,1.05
5,11.12.2022,Croatia,BZN HR,05:00 - 06:00,,1.02
6,11.12.2022,Croatia,BZN HR,06:00 - 07:00,,1.03
7,11.12.2022,Croatia,BZN HR,07:00 - 08:00,,34.31
8,11.12.2022,Croatia,BZN HR,08:00 - 09:00,,124.59
9,11.12.2022,Croatia,BZN HR,09:00 - 10:00,,223.2
10,11.12.2022,Croatia,BZN HR,10:00 - 11:00,,283.0
11,11.12.2022,Croatia,BZN HR,11:00 - 12:00,,281.17
12,11.12.2022,Croatia,BZN HR,12:00 - 13:00,,329.87
13,11.12.2022,Croatia,BZN HR,13:00 - 14:00,,324.74
14,11.12.2022,Croatia,BZN HR,14:00 - 15:00,,325.16
15,11.12.2022,Croatia,BZN HR,15:00 - 16:00,,336.51
16,11.12.2022,Croatia,BZN HR,16:00 - 17:00,,361.6
17,11.12.2022,Croatia,BZN HR,17:00 - 18:00,,413.94
18,11.12.2022,Croatia,BZN HR,18:00 - 19:00,,430.7
19,11.12.2022,Croatia,BZN HR,19:00 - 20:00,,413.33
20,11.12.2022,Croatia,BZN HR,20:00 - 21:00,,384.59
21,11.12.2022,Croatia,BZN HR,21:00 - 22:00,,335.35
22,11.12.2022,Croatia,BZN HR,22:00 - 23:00,,320.75
23,11.12.2022,Croatia,BZN HR,23:00 - 00:00,,269.5
0,11.12.2022,Cyprus,BZN CY,00:00 - 01:00,,
1,11.12.2022,Cyprus,BZN CY,01:00 - 02:00,,
2,11.12.2022,Cyprus,BZN CY,02:00 - 03:00,,
3,11.12.2022,Cyprus,BZN CY,03:00 - 04:00,,
4,11.12.2022,Cyprus,BZN CY,04:00 - 05:00,,
5,11.12.2022,Cyprus,BZN CY,05:00 - 06:00,,
6,11.12.2022,Cyprus,BZN CY,06:00 - 07:00,,
7,11.12.2022,Cyprus,BZN CY,07:00 - 08:00,,
8,11.12.2022,Cyprus,BZN CY,08:00 - 09:00,,
9,11.12.2022,Cyprus,BZN CY,09:00 - 10:00,,
10,11.12.2022,Cyprus,BZN CY,10:00 - 11:00,,
11,11.12.2022,Cyprus,BZN CY,11:00 - 12:00,,
12,11.12.2022,Cyprus,BZN CY,12:00 - 13:00,,
13,11.12.2022,Cyprus,BZN CY,13:00 - 14:00,,
14,11.12.2022,Cyprus,BZN CY,14:00 - 15:00,,
15,11.12.2022,Cyprus,BZN CY,15:00 - 16:00,,
16,11.12.2022,Cyprus,BZN CY,16:00 - 17:00,,
17,11.12.2022,Cyprus,BZN CY,17:00 - 18:00,,
18,11.12.2022,Cyprus,BZN CY,18:00 - 19:00,,
19,11.12.2022,Cyprus,BZN CY,19:00 - 20:00,,
20,11.12.2022,Cyprus,BZN CY,20:00 - 21:00,,
21,11.12.2022,Cyprus,BZN CY,21:00 - 22:00,,
22,11.12.2022,Cyprus,BZN CY,22:00 - 23:00,,
23,11.12.2022,Cyprus,BZN CY,23:00 - 00:00,,
0,11.12.2022,Czech Rep.,BZN CZ,00:00 - 01:00,,200.5
1,11.12.2022,Czech Rep.,BZN CZ,01:00 - 02:00,,197.94
2,11.12.2022,Czech Rep.,BZN CZ,02:00 - 03:00,,200.5
3,11.12.2022,Czech Rep.,BZN CZ,03:00 - 04:00,,205.6
4,11.12.2022,Czech Rep.,BZN CZ,04:00 - 05:00,,202.76
5,11.12.2022,Czech Rep.,BZN CZ,05:00 - 06:00,,196.72
6,11.12.2022,Czech Rep.,BZN CZ,06:00 - 07:00,,204.07
7,11.12.2022,Czech Rep.,BZN CZ,07:00 - 08:00,,261.09
8,11.12.2022,Czech Rep.,BZN CZ,08:00 - 09:00,,283.11
9,11.12.2022,Czech Rep.,BZN CZ,09:00 - 10:00,,315.77
10,11.12.2022,Czech Rep.,BZN CZ,10:00 - 11:00,,325.34
11,11.12.2022,Czech Rep.,BZN CZ,11:00 - 12:00,,346.85
12,11.12.2022,Czech Rep.,BZN CZ,12:00 - 13:00,,336.06
13,11.12.2022,Czech Rep.,BZN CZ,13:00 - 14:00,,324.74
14,11.12.2022,Czech Rep.,BZN CZ,14:00 - 15:00,,328.07
15,11.12.2022,Czech Rep.,BZN CZ,15:00 - 16:00,,336.51
16,11.12.2022,Czech Rep.,BZN CZ,16:00 - 17:00,,361.6
17,11.12.2022,Czech Rep.,BZN CZ,17:00 - 18:00,,413.94
18,11.12.2022,Czech Rep.,BZN CZ,18:00 - 19:00,,430.1
19,11.12.2022,Czech Rep.,BZN CZ,19:00 - 20:00,,412.99
20,11.12.2022,Czech Rep.,BZN CZ,20:00 - 21:00,,384.26
21,11.12.2022,Czech Rep.,BZN CZ,21:00 - 22:00,,335.35
22,11.12.2022,Czech Rep.,BZN CZ,22:00 - 23:00,,323.15
23,11.12.2022,Czech Rep.,BZN CZ,23:00 - 00:00,,294.52
0,11.12.2022,Czech Rep.,BZN CZ-DE-SK,00:00 - 01:00,,
1,11.12.2022,Czech Rep.,BZN CZ-DE-SK,01:00 - 02:00,,
2,11.12.2022,Czech Rep.,BZN CZ-DE-SK,02:00 - 03:00,,
3,11.12.2022,Czech Rep.,BZN CZ-DE-SK,03:00 - 04:00,,
4,11.12.2022,Czech Rep.,BZN CZ-DE-SK,04:00 - 05:00,,
5,11.12.2022,Czech Rep.,BZN CZ-DE-SK,05:00 - 06:00,,
6,11.12.2022,Czech Rep.,BZN CZ-DE-SK,06:00 - 07:00,,
7,11.12.2022,Czech Rep.,BZN CZ-DE-SK,07:00 - 08:00,,
8,11.12.2022,Czech Rep.,BZN CZ-DE-SK,08:00 - 09:00,,
9,11.12.2022,Czech Rep.,BZN CZ-DE-SK,09:00 - 10:00,,
10,11.12.2022,Czech Rep.,BZN CZ-DE-SK,10:00 - 11:00,,
11,11.12.2022,Czech Rep.,BZN CZ-DE-SK,11:00 - 12:00,,
12,11.12.2022,Czech Rep.,BZN CZ-DE-SK,12:00 - 13:00,,
13,11.12.2022,Czech Rep.,BZN CZ-DE-SK,13:00 - 14:00,,
14,11.12.2022,Czech Rep.,BZN CZ-DE-SK,14:00 - 15:00,,
15,11.12.2022,Czech Rep.,BZN CZ-DE-SK,15:00 - 16:00,,
16,11.12.2022,Czech Rep.,BZN CZ-DE-SK,16:00 - 17:00,,
17,11.12.2022,Czech Rep.,BZN CZ-DE-SK,17:00 - 18:00,,
18,11.12.2022,Czech Rep.,BZN CZ-DE-SK,18:00 - 19:00,,
19,11.12.2022,Czech Rep.,BZN CZ-DE-SK,19:00 - 20:00,,
20,11.12.2022,Czech Rep.,BZN CZ-DE-SK,20:00 - 21:00,,
21,11.12.2022,Czech Rep.,BZN CZ-DE-SK,21:00 - 22:00,,
22,11.12.2022,Czech Rep.,BZN CZ-DE-SK,22:00 - 23:00,,
23,11.12.2022,Czech Rep.,BZN CZ-DE-SK,23:00 - 00:00,,
0,11.12.2022,Denmark,BZN DK1,00:00 - 01:00,,300.65
1,11.12.2022,Denmark,BZN DK1,01:00 - 02:00,,292.8
2,11.12.2022,Denmark,BZN DK1,02:00 - 03:00,,288.08
3,11.12.2022,Denmark,BZN DK1,03:00 - 04:00,,272.52
4,11.12.2022,Denmark,BZN DK1,04:00 - 05:00,,268.42
5,11.12.2022,Denmark,BZN DK1,05:00 - 06:00,,269.24
6,11.12.2022,Denmark,BZN DK1,06:00 - 07:00,,280.98
7,11.12.2022,Denmark,BZN DK1,07:00 - 08:00,,279.73
8,11.12.2022,Denmark,BZN DK1,08:00 - 09:00,,293.09
9,11.12.2022,Denmark,BZN DK1,09:00 - 10:00,,320.09
10,11.12.2022,Denmark,BZN DK1,10:00 - 11:00,,326.55
11,11.12.2022,Denmark,BZN DK1,11:00 - 12:00,,345.19
12,11.12.2022,Denmark,BZN DK1,12:00 - 13:00,,347.71
13,11.12.2022,Denmark,BZN DK1,13:00 - 14:00,,324.74
14,11.12.2022,Denmark,BZN DK1,14:00 - 15:00,,328.31
15,11.12.2022,Denmark,BZN DK1,15:00 - 16:00,,336.51
16,11.12.2022,Denmark,BZN DK1,16:00 - 17:00,,361.6
17,11.12.2022,Denmark,BZN DK1,17:00 - 18:00,,413.94
18,11.12.2022,Denmark,BZN DK1,18:00 - 19:00,,430.05
19,11.12.2022,Denmark,BZN DK1,19:00 - 20:00,,412.74
20,11.12.2022,Denmark,BZN DK1,20:00 - 21:00,,383.98
21,11.12.2022,Denmark,BZN DK1,21:00 - 22:00,,335.35
22,11.12.2022,Denmark,BZN DK1,22:00 - 23:00,,323.85
23,11.12.2022,Denmark,BZN DK1,23:00 - 00:00,,306.25
0,11.12.2022,Denmark,BZN DK2,00:00 - 01:00,,300.65
1,11.12.2022,Denmark,BZN DK2,01:00 - 02:00,,292.8
2,11.12.2022,Denmark,BZN DK2,02:00 - 03:00,,288.08
3,11.12.2022,Denmark,BZN DK2,03:00 - 04:00,,272.52
4,11.12.2022,Denmark,BZN DK2,04:00 - 05:00,,268.42
5,11.12.2022,Denmark,BZN DK2,05:00 - 06:00,,269.24
6,11.12.2022,Denmark,BZN DK2,06:00 - 07:00,,280.98
7,11.12.2022,Denmark,BZN DK2,07:00 - 08:00,,279.73
8,11.12.2022,Denmark,BZN DK2,08:00 - 09:00,,293.09
9,11.12.2022,Denmark,BZN DK2,09:00 - 10:00,,320.09
10,11.12.2022,Denmark,BZN DK2,10:00 - 11:00,,326.55
11,11.12.2022,Denmark,BZN DK2,11:00 - 12:00,,345.19
12,11.12.2022,Denmark,BZN DK2,12:00 - 13:00,,347.71
13,11.12.2022,Denmark,BZN DK2,13:00 - 14:00,,324.74
14,11.12.2022,Denmark,BZN DK2,14:00 - 15:00,,328.31
15,11.12.2022,Denmark,BZN DK2,15:00 - 16:00,,336.51
16,11.12.2022,Denmark,BZN DK2,16:00 - 17:00,,361.6
17,11.12.2022,Denmark,BZN DK2,17:00 - 18:00,,413.94
18,11.12.2022,Denmark,BZN DK2,18:00 - 19:00,,430.05
19,11.12.2022,Denmark,BZN DK2,19:00 - 20:00,,412.74
20,11.12.2022,Denmark,BZN DK2,20:00 - 21:00,,383.98
21,11.12.2022,Denmark,BZN DK2,21:00 - 22:00,,335.35
22,11.12.2022,Denmark,BZN DK2,22:00 - 23:00,,323.85
23,11.12.2022,Denmark,BZN DK2,23:00 - 00:00,,306.25
0,11.12.2022,Estonia,BZN EE,00:00 - 01:00,,300.56
1,11.12.2022,Estonia,BZN EE,01:00 - 02:00,,287.98
2,11.12.2022,Estonia,BZN EE,02:00 - 03:00,,288.08
3,11.12.2022,Estonia,BZN EE,03:00 - 04:00,,272.52
4,11.12.2022,Estonia,BZN EE,04:00 - 05:00,,268.42
5,11.12.2022,Estonia,BZN EE,05:00 - 06:00,,269.24
6,11.12.2022,Estonia,BZN EE,06:00 - 07:00,,280.98
7,11.12.2022,Estonia,BZN EE,07:00 - 08:00,,279.73
8,11.12.2022,Estonia,BZN EE,08:00 - 09:00,,293.09
9,11.12.2022,Estonia,BZN EE,09:00 - 10:00,,320.09
10,11.12.2022,Estonia,BZN EE,10:00 - 11:00,,326.55
11,11.12.2022,Estonia,BZN EE,11:00 - 12:00,,355.88
12,11.12.2022,Estonia,BZN EE,12:00 - 13:00,,347.71
13,11.12.2022,Estonia,BZN EE,13:00 - 14:00,,324.74
14,11.12.2022,Estonia,BZN EE,14:00 - 15:00,,328.31
15,11.12.2022,Estonia,BZN EE,15:00 - 16:00,,336.51
16,11.12.2022,Estonia,BZN EE,16:00 - 17:00,,361.6
17,11.12.2022,Estonia,BZN EE,17:00 - 18:00,,413.94
18,11.12.2022,Estonia,BZN EE,18:00 - 19:00,,430.05
19,11.12.2022,Estonia,BZN EE,19:00 - 20:00,,412.74
20,11.12.2022,Estonia,BZN EE,20:00 - 21:00,,383.98
21,11.12.2022,Estonia,BZN EE,21:00 - 22:00,,335.35
22,11.12.2022,Estonia,BZN EE,22:00 - 23:00,,323.85
23,11.12.2022,Estonia,BZN EE,23:00 - 00:00,,306.25
0,11.12.2022,Finland,BZN FI,00:00 - 01:00,,295.55
1,11.12.2022,Finland,BZN FI,01:00 - 02:00,,287.98
2,11.12.2022,Finland,BZN FI,02:00 - 03:00,,288.08
3,11.12.2022,Finland,BZN FI,03:00 - 04:00,,272.52
4,11.12.2022,Finland,BZN FI,04:00 - 05:00,,268.42
5,11.12.2022,Finland,BZN FI,05:00 - 06:00,,269.24
6,11.12.2022,Finland,BZN FI,06:00 - 07:00,,280.98
7,11.12.2022,Finland,BZN FI,07:00 - 08:00,,279.73
8,11.12.2022,Finland,BZN FI,08:00 - 09:00,,293.09
9,11.12.2022,Finland,BZN FI,09:00 - 10:00,,320.09
10,11.12.2022,Finland,BZN FI,10:00 - 11:00,,326.55
11,11.12.2022,Finland,BZN FI,11:00 - 12:00,,345.19
12,11.12.2022,Finland,BZN FI,12:00 - 13:00,,347.71
13,11.12.2022,Finland,BZN FI,13:00 - 14:00,,324.74
14,11.12.2022,Finland,BZN FI,14:00 - 15:00,,328.31
15,11.12.2022,Finland,BZN FI,15:00 - 16:00,,336.51
16,11.12.2022,Finland,BZN FI,16:00 - 17:00,,361.6
17,11.12.2022,Finland,BZN FI,17:00 - 18:00,,413.94
18,11.12.2022,Finland,BZN FI,18:00 - 19:00,,430.05
19,11.12.2022,Finland,BZN FI,19:00 - 20:00,,412.74
20,11.12.2022,Finland,BZN FI,20:00 - 21:00,,383.98
21,11.12.2022,Finland,BZN FI,21:00 - 22:00,,335.35
22,11.12.2022,Finland,BZN FI,22:00 - 23:00,,323.85
23,11.12.2022,Finland,BZN FI,23:00 - 00:00,,306.25
0,11.12.2022,France,BZN FR,00:00 - 01:00,,310.47
1,11.12.2022,France,BZN FR,01:00 - 02:00,,304.83
2,11.12.2022,France,BZN FR,02:00 - 03:00,,298.7
3,11.12.2022,France,BZN FR,03:00 - 04:00,,284.08
4,11.12.2022,France,BZN FR,04:00 - 05:00,,279.9
5,11.12.2022,France,BZN FR,05:00 - 06:00,,277.66
6,11.12.2022,France,BZN FR,06:00 - 07:00,,286.55
7,11.12.2022,France,BZN FR,07:00 - 08:00,,303.65
8,11.12.2022,France,BZN FR,08:00 - 09:00,,305.55
9,11.12.2022,France,BZN FR,09:00 - 10:00,,322.05
10,11.12.2022,France,BZN FR,10:00 - 11:00,,334.17
11,11.12.2022,France,BZN FR,11:00 - 12:00,,344.14
12,11.12.2022,France,BZN FR,12:00 - 13:00,,348.45
13,11.12.2022,France,BZN FR,13:00 - 14:00,,324.74
14,11.12.2022,France,BZN FR,14:00 - 15:00,,328.21
15,11.12.2022,France,BZN FR,15:00 - 16:00,,336.51
16,11.12.2022,France,BZN FR,16:00 - 17:00,,361.6
17,11.12.2022,France,BZN FR,17:00 - 18:00,,413.94
18,11.12.2022,France,BZN FR,18:00 - 19:00,,435.64
19,11.12.2022,France,BZN FR,19:00 - 20:00,,415.95
20,11.12.2022,France,BZN FR,20:00 - 21:00,,387.12
21,11.12.2022,France,BZN FR,21:00 - 22:00,,335.35
22,11.12.2022,France,BZN FR,22:00 - 23:00,,336.9
23,11.12.2022,France,BZN FR,23:00 - 00:00,,316.8
0,11.12.2022,Georgia,BZN GE,00:00 - 01:00,,
1,11.12.2022,Georgia,BZN GE,01:00 - 02:00,,
2,11.12.2022,Georgia,BZN GE,02:00 - 03:00,,
3,11.12.2022,Georgia,BZN GE,03:00 - 04:00,,
4,11.12.2022,Georgia,BZN GE,04:00 - 05:00,,
5,11.12.2022,Georgia,BZN GE,05:00 - 06:00,,
6,11.12.2022,Georgia,BZN GE,06:00 - 07:00,,
7,11.12.2022,Georgia,BZN GE,07:00 - 08:00,,
8,11.12.2022,Georgia,BZN GE,08:00 - 09:00,,
9,11.12.2022,Georgia,BZN GE,09:00 - 10:00,,
10,11.12.2022,Georgia,BZN GE,10:00 - 11:00,,
11,11.12.2022,Georgia,BZN GE,11:00 - 12:00,,
12,11.12.2022,Georgia,BZN GE,12:00 - 13:00,,
13,11.12.2022,Georgia,BZN GE,13:00 - 14:00,,
14,11.12.2022,Georgia,BZN GE,14:00 - 15:00,,
15,11.12.2022,Georgia,BZN GE,15:00 - 16:00,,
16,11.12.2022,Georgia,BZN GE,16:00 - 17:00,,
17,11.12.2022,Georgia,BZN GE,17:00 - 18:00,,
18,11.12.2022,Georgia,BZN GE,18:00 - 19:00,,
19,11.12.2022,Georgia,BZN GE,19:00 - 20:00,,
20,11.12.2022,Georgia,BZN GE,20:00 - 21:00,,
21,11.12.2022,Georgia,BZN GE,21:00 - 22:00,,
22,11.12.2022,Georgia,BZN GE,22:00 - 23:00,,
23,11.12.2022,Georgia,BZN GE,23:00 - 00:00,,
0,11.12.2022,Germany,BZN DE-LU,00:00 - 01:00,,300.65
1,11.12.2022,Germany,BZN DE-LU,01:00 - 02:00,,292.8
2,11.12.2022,Germany,BZN DE-LU,02:00 - 03:00,,288.08
3,11.12.2022,Germany,BZN DE-LU,03:00 - 04:00,,272.52
4,11.12.2022,Germany,BZN DE-LU,04:00 - 05:00,,268.42
5,11.12.2022,Germany,BZN DE-LU,05:00 - 06:00,,269.24
6,11.12.2022,Germany,BZN DE-LU,06:00 - 07:00,,280.98
7,11.12.2022,Germany,BZN DE-LU,07:00 - 08:00,,279.73
8,11.12.2022,Germany,BZN DE-LU,08:00 - 09:00,,293.09
