date,country,area,mtu,price(eur/mwh)
2022-12-01,Croatia,BZN HR,14:00 - 15:00,462.2
2022-12-01,Croatia,BZN HR,15:00 - 16:00,461.35
2022-12-01,Croatia,BZN HR,16:00 - 17:00,458.07
2022-12-01,Croatia,BZN HR,17:00 - 18:00,484.07
2022-12-01,Croatia,BZN HR,18:00 - 19:00,469.79
2022-12-01,Croatia,BZN HR,19:00 - 20:00,457.89
2022-12-01,Croatia,BZN HR,20:00 - 21:00,429.9
2022-12-01,Croatia,BZN HR,21:00 - 22:00,355.09
2022-12-01,Croatia,BZN HR,22:00 - 23:00,340.19
2022-12-01,Croatia,BZN HR,23:00 - 00:00,303.11
2022-12-01,Cyprus,BZN CY,00:00 - 01:00,
2022-12-01,Cyprus,BZN CY,01:00 - 02:00,
2022-12-01,Cyprus,BZN CY,02:00 - 03:00,
2022-12-01,Cyprus,BZN CY,03:00 - 04:00,
2022-12-01,Cyprus,BZN CY,04:00 - 05:00,
2022-12-01,Cyprus,BZN CY,05:00 - 06:00,
2022-12-01,Cyprus,BZN CY,06:00 - 07:00,
2022-12-01,Cyprus,BZN CY,07:00 - 08:00,
2022-12-01,Cyprus,BZN CY,08:00 - 09:00,
2022-12-01,Cyprus,BZN CY,09:00 - 10:00,
2022-12-01,Cyprus,BZN CY,10:00 - 11:00,
2022-12-01,Cyprus,BZN CY,11:00 - 12:00,
2022-12-01,Cyprus,BZN CY,12:00 - 13:00,
2022-12-01,Cyprus,BZN CY,13:00 - 14:00,
2022-12-01,Cyprus,BZN CY,14:00 - 15:00,
2022-12-01,Cyprus,BZN CY,15:00 - 16:00,
2022-12-01,Cyprus,BZN CY,16:00 - 17:00,
2022-12-01,Cyprus,BZN CY,17:00 - 18:00,
2022-12-01,Cyprus,BZN CY,18:00 - 19:00,
2022-12-01,Cyprus,BZN CY,19:00 - 20:00,
2022-12-01,Cyprus,BZN CY,20:00 - 21:00,
2022-12-01,Cyprus,BZN CY,21:00 - 22:00,
2022-12-01,Cyprus,BZN CY,22:00 - 23:00,
2022-12-01,Cyprus,BZN CY,23:00 - 00:00,
2022-12-01,Czech Republic,BZN CZ,00:00 - 01:00,293.48
2022-12-01,Czech Republic,BZN CZ,01:00 - 02:00,293.18
2022-12-01,Czech Republic,BZN CZ,02:00 - 03:00,287.79
2022-12-01,Czech Republic,BZN CZ,03:00 - 04:00,277.74
2022-12-01,Czech Republic,BZN CZ,04:00 - 05:00,274.22
2022-12-01,Czech Republic,BZN CZ,05:00 - 06:00,283.48
2022-12-01,Czech Republic,BZN CZ,06:00 - 07:00,353.7
2022-12-01,Czech Republic,BZN CZ,07:00 - 08:00,450.24
2022-12-01,Czech Republic,BZN CZ,08:00 - 09:00,462.83
2022-12-01,Czech Republic,BZN CZ,09:00 - 10:00,459.54
2022-12-01,Czech Republic,BZN CZ,10:00 - 11:00,451.53
2022-12-01,Czech Republic,BZN CZ,11:00 - 12:00,445.49
2022-12-01,Czech Republic,BZN CZ,12:00 - 13:00,436.56
2022-12-01,Czech Republic,BZN CZ,13:00 - 14:00,446.3
2022-12-01,Czech Republic,BZN CZ,14:00 - 15:00,463.85
2022-12-01,Czech Republic,BZN CZ,15:00 - 16:00,462.36
2022-12-01,Czech Republic,BZN CZ,16:00 - 17:00,458.12
2022-12-01,Czech Republic,BZN CZ,17:00 - 18:00,484.07
2022-12-01,Czech Republic,BZN CZ,18:00 - 19:00,469.79
2022-12-01,Czech Republic,BZN CZ,19:00 - 20:00,457.89
2022-12-01,Czech Republic,BZN CZ,20:00 - 21:00,430.49
2022-12-01,Czech Republic,BZN CZ,21:00 - 22:00,378.34
2022-12-01,Czech Republic,BZN CZ,22:00 - 23:00,340.43
2022-12-01,Czech Republic,BZN CZ,23:00 - 00:00,305.7
2022-12-01,Czech Republic,BZN CZ-DE-SK,00:00 - 01:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,01:00 - 02:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,02:00 - 03:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,03:00 - 04:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,04:00 - 05:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,05:00 - 06:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,06:00 - 07:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,07:00 - 08:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,08:00 - 09:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,09:00 - 10:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,10:00 - 11:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,11:00 - 12:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,12:00 - 13:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,13:00 - 14:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,14:00 - 15:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,15:00 - 16:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,16:00 - 17:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,17:00 - 18:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,18:00 - 19:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,19:00 - 20:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,20:00 - 21:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,21:00 - 22:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,22:00 - 23:00,
2022-12-01,Czech Republic,BZN CZ-DE-SK,23:00 - 00:00,
2022-12-01,Denmark,BZN DK1,00:00 - 01:00,292.06
2022-12-01,Denmark,BZN DK1,01:00 - 02:00,291.43
2022-12-01,Denmark,BZN DK1,02:00 - 03:00,284.76
2022-12-01,Denmark,BZN DK1,03:00 - 04:00,274.8
2022-12-01,Denmark,BZN DK1,04:00 - 05:00,271.91
2022-12-01,Denmark,BZN DK1,05:00 - 06:00,283.49
2022-12-01,Denmark,BZN DK1,06:00 - 07:00,353.18
2022-12-01,Denmark,BZN DK1,07:00 - 08:00,450.84
2022-12-01,Denmark,BZN DK1,08:00 - 09:00,463.55
2022-12-01,Denmark,BZN DK1,09:00 - 10:00,462.15
2022-12-01,Denmark,BZN DK1,10:00 - 11:00,453.07
2022-12-01,Denmark,BZN DK1,11:00 - 12:00,446.43
2022-12-01,Denmark,BZN DK1,12:00 - 13:00,437.88
2022-12-01,Denmark,BZN DK1,13:00 - 14:00,446.54
2022-12-01,Denmark,BZN DK1,14:00 - 15:00,464.07
2022-12-01,Denmark,BZN DK1,15:00 - 16:00,463.1
2022-12-01,Denmark,BZN DK1,16:00 - 17:00,458.04
2022-12-01,Denmark,BZN DK1,17:00 - 18:00,484.07
2022-12-01,Denmark,BZN DK1,18:00 - 19:00,469.79
2022-12-01,Denmark,BZN DK1,19:00 - 20:00,457.89
2022-12-01,Denmark,BZN DK1,20:00 - 21:00,430.8
2022-12-01,Denmark,BZN DK1,21:00 - 22:00,379.49
2022-12-01,Denmark,BZN DK1,22:00 - 23:00,340.63
2022-12-01,Denmark,BZN DK1,23:00 - 00:00,304.55
2022-12-01,Denmark,BZN DK2,00:00 - 01:00,286.45
2022-12-01,Denmark,BZN DK2,01:00 - 02:00,284.43
2022-12-01,Denmark,BZN DK2,02:00 - 03:00,277.92
2022-12-01,Denmark,BZN DK2,03:00 - 04:00,268.21
2022-12-01,Denmark,BZN DK2,04:00 - 05:00,271.91
2022-12-01,Denmark,BZN DK2,05:00 - 06:00,283.49
2022-12-01,Denmark,BZN DK2,06:00 - 07:00,353.18
2022-12-01,Denmark,BZN DK2,07:00 - 08:00,450.84
2022-12-01,Denmark,BZN DK2,08:00 - 09:00,463.55
2022-12-01,Denmark,BZN DK2,09:00 - 10:00,462.15
2022-12-01,Denmark,BZN DK2,10:00 - 11:00,453.07
2022-12-01,Denmark,BZN DK2,11:00 - 12:00,446.43
2022-12-01,Denmark,BZN DK2,12:00 - 13:00,437.88
2022-12-01,Denmark,BZN DK2,13:00 - 14:00,446.54
2022-12-01,Denmark,BZN DK2,14:00 - 15:00,464.07
2022-12-01,Denmark,BZN DK2,15:00 - 16:00,463.1
2022-12-01,Denmark,BZN DK2,16:00 - 17:00,458.04
2022-12-01,Denmark,BZN DK2,17:00 - 18:00,484.07
2022-12-01,Denmark,BZN DK2,18:00 - 19:00,469.79
2022-12-01,Denmark,BZN DK2,19:00 - 20:00,457.89
2022-12-01,Denmark,BZN DK2,20:00 - 21:00,430.8
2022-12-01,Denmark,BZN DK2,21:00 - 22:00,379.49
2022-12-01,Denmark,BZN DK2,22:00 - 23:00,340.63
2022-12-01,Denmark,BZN DK2,23:00 - 00:00,304.55
2022-12-01,Estonia,BZN EE,00:00 - 01:00,295.18
2022-12-01,Estonia,BZN EE,01:00 - 02:00,295.39
2022-12-01,Estonia,BZN EE,02:00 - 03:00,291.62
2022-12-01,Estonia,BZN EE,03:00 - 04:00,281.56
2022-12-01,Estonia,BZN EE,04:00 - 05:00,277.18
2022-12-01,Estonia,BZN EE,05:00 - 06:00,283.49
2022-12-01,Estonia,BZN EE,06:00 - 07:00,356.16
2022-12-01,Estonia,BZN EE,07:00 - 08:00,452.77
2022-12-01,Estonia,BZN EE,08:00 - 09:00,463.35
2022-12-01,Estonia,BZN EE,09:00 - 10:00,460.14
2022-12-01,Estonia,BZN EE,10:00 - 11:00,453.07
2022-12-01,Estonia,BZN EE,11:00 - 12:00,446.85
2022-12-01,Estonia,BZN EE,12:00 - 13:00,437.88
2022-12-01,Estonia,BZN EE,13:00 - 14:00,447.7
2022-12-01,Estonia,BZN EE,14:00 - 15:00,465.15
2022-12-01,Estonia,BZN EE,15:00 - 16:00,463.1
2022-12-01,Estonia,BZN EE,16:00 - 17:00,458.04
2022-12-01,Estonia,BZN EE,17:00 - 18:00,484.07
2022-12-01,Estonia,BZN EE,18:00 - 19:00,469.79
2022-12-01,Estonia,BZN EE,19:00 - 20:00,457.89
2022-12-01,Estonia,BZN EE,20:00 - 21:00,430.8
2022-12-01,Estonia,BZN EE,21:00 - 22:00,379.49
2022-12-01,Estonia,BZN EE,22:00 - 23:00,332.46
2022-12-01,Estonia,BZN EE,23:00 - 00:00,297.24
2022-12-01,Finland,BZN FI,00:00 - 01:00,285.05
2022-12-01,Finland,BZN FI,01:00 - 02:00,284.43
2022-12-01,Finland,BZN FI,02:00 - 03:00,277.92
2022-12-01,Finland,BZN FI,03:00 - 04:00,268.21
2022-12-01,Finland,BZN FI,04:00 - 05:00,277.18
2022-12-01,Finland,BZN FI,05:00 - 06:00,283.49
2022-12-01,Finland,BZN FI,06:00 - 07:00,356.16
2022-12-01,Finland,BZN FI,07:00 - 08:00,452.77
2022-12-01,Finland,BZN FI,08:00 - 09:00,463.35
2022-12-01,Finland,BZN FI,09:00 - 10:00,460.14
2022-12-01,Finland,BZN FI,10:00 - 11:00,453.07
2022-12-01,Finland,BZN FI,11:00 - 12:00,446.43
2022-12-01,Finland,BZN FI,12:00 - 13:00,437.88
2022-12-01,Finland,BZN FI,13:00 - 14:00,447.7
2022-12-01,Finland,BZN FI,14:00 - 15:00,464.07
2022-12-01,Finland,BZN FI,15:00 - 16:00,463.1
2022-12-01,Finland,BZN FI,16:00 - 17:00,458.04
2022-12-01,Finland,BZN FI,17:00 - 18:00,484.07
2022-12-01,Finland,BZN FI,18:00 - 19:00,469.79
2022-12-01,Finland,BZN FI,19:00 - 20:00,457.89
2022-12-01,Finland,BZN FI,20:00 - 21:00,430.8
2022-12-01,Finland,BZN FI,21:00 - 22:00,379.49
2022-12-01,Finland,BZN FI,22:00 - 23:00,332.46
2022-12-01,Finland,BZN FI,23:00 - 00:00,297.24
2022-12-01,France,BZN FR,00:00 - 01:00,292.01
2022-12-01,France,BZN FR,01:00 - 02:00,290.79
2022-12-01,France,BZN FR,02:00 - 03:00,283.65
2022-12-01,France,BZN FR,03:00 - 04:00,273.3
2022-12-01,France,BZN FR,04:00 - 05:00,270.74
2022-12-01,France,BZN FR,05:00 - 06:00,283.31
2022-12-01,France,BZN FR,06:00 - 07:00,341.33
2022-12-01,France,BZN FR,07:00 - 08:00,440.5
2022-12-01,France,BZN FR,08:00 - 09:00,459.89
2022-12-01,France,BZN FR,09:00 - 10:00,457.65
2022-12-01,France,BZN FR,10:00 - 11:00,441.57
2022-12-01,France,BZN FR,11:00 - 12:00,437.93
2022-12-01,France,BZN FR,12:00 - 13:00,427.31
2022-12-01,France,BZN FR,13:00 - 14:00,437.37
2022-12-01,France,BZN FR,14:00 - 15:00,451.52
2022-12-01,France,BZN FR,15:00 - 16:00,457.71
2022-12-01,France,BZN FR,16:00 - 17:00,456.93
2022-12-01,France,BZN FR,17:00 - 18:00,484.07
2022-12-01,France,BZN FR,18:00 - 19:00,469.79
2022-12-01,France,BZN FR,19:00 - 20:00,457.89
2022-12-01,France,BZN FR,20:00 - 21:00,427.77
2022-12-01,France,BZN FR,21:00 - 22:00,379.49
2022-12-01,France,BZN FR,22:00 - 23:00,340.3
2022-12-01,France,BZN FR,23:00 - 00:00,321.0
2022-12-01,Georgia,BZN GE,00:00 - 01:00,
2022-12-01,Georgia,BZN GE,01:00 - 02:00,
2022-12-01,Georgia,BZN GE,02:00 - 03:00,
2022-12-01,Georgia,BZN GE,03:00 - 04:00,
2022-12-01,Georgia,BZN GE,04:00 - 05:00,
2022-12-01,Georgia,BZN GE,05:00 - 06:00,
2022-12-01,Georgia,BZN GE,06:00 - 07:00,
2022-12-01,Georgia,BZN GE,07:00 - 08:00,
2022-12-01,Georgia,BZN GE,08:00 - 09:00,
2022-12-01,Georgia,BZN GE,09:00 - 10:00,
2022-12-01,Georgia,BZN GE,10:00 - 11:00,
2022-12-01,Georgia,BZN GE,11:00 - 12:00,
2022-12-01,Georgia,BZN GE,12:00 - 13:00,
2022-12-01,Georgia,BZN GE,13:00 - 14:00,
2022-12-01,Georgia,BZN GE,14:00 - 15:00,
2022-12-01,Georgia,BZN GE,15:00 - 16:00,
2022-12-01,Georgia,BZN GE,16:00 - 17:00,
2022-12-01,Georgia,BZN GE,17:00 - 18:00,
2022-12-01,Georgia,BZN GE,18:00 - 19:00,
2022-12-01,Georgia,BZN GE,19:00 - 20:00,
2022-12-01,Georgia,BZN GE,20:00 - 21:00,
2022-12-01,Georgia,BZN GE,21:00 - 22:00,
2022-12-01,Georgia,BZN GE,22:00 - 23:00,
2022-12-01,Georgia,BZN GE,23:00 - 00:00,
2022-12-01,Germany,BZN CZ-DE-SK,00:00 - 01:00,
2022-12-01,Germany,BZN CZ-DE-SK,01:00 - 02:00,
2022-12-01,Germany,BZN CZ-DE-SK,02:00 - 03:00,
2022-12-01,Germany,BZN CZ-DE-SK,03:00 - 04:00,
2022-12-01,Germany,BZN CZ-DE-SK,04:00 - 05:00,
2022-12-01,Germany,BZN CZ-DE-SK,05:00 - 06:00,
2022-12-01,Germany,BZN CZ-DE-SK,06:00 - 07:00,
2022-12-01,Germany,BZN CZ-DE-SK,07:00 - 08:00,
2022-12-01,Germany,BZN CZ-DE-SK,08:00 - 09:00,
2022-12-01,Germany,BZN CZ-DE-SK,09:00 - 10:00,
2022-12-01,Germany,BZN CZ-DE-SK,10:00 - 11:00,
2022-12-01,Germany,BZN CZ-DE-SK,11:00 - 12:00,
2022-12-01,Germany,BZN CZ-DE-SK,12:00 - 13:00,
2022-12-01,Germany,BZN CZ-DE-SK,13:00 - 14:00,
2022-12-01,Germany,BZN CZ-DE-SK,14:00 - 15:00,
2022-12-01,Germany,BZN CZ-DE-SK,15:00 - 16:00,
2022-12-01,Germany,BZN CZ-DE-SK,16:00 - 17:00,
2022-12-01,Germany,BZN CZ-DE-SK,17:00 - 18:00,
2022-12-01,Germany,BZN CZ-DE-SK,18:00 - 19:00,
2022-12-01,Germany,BZN CZ-DE-SK,19:00 - 20:00,
2022-12-01,Germany,BZN CZ-DE-SK,20:00 - 21:00,
2022-12-01,Germany,BZN CZ-DE-SK,21:00 - 22:00,
2022-12-01,Germany,BZN CZ-DE-SK,22:00 - 23:00,
2022-12-01,Germany,BZN CZ-DE-SK,23:00 - 00:00,
2022-12-01,Germany,BZN DE-AT-LU,00:00 - 01:00,
2022-12-01,Germany,BZN DE-AT-LU,01:00 - 02:00,
2022-12-01,Germany,BZN DE-AT-LU,02:00 - 03:00,
2022-12-01,Germany,BZN DE-AT-LU,03:00 - 04:00,
2022-12-01,Germany,BZN DE-AT-LU,04:00 - 05:00,
2022-12-01,Germany,BZN DE-AT-LU,05:00 - 06:00,
2022-12-01,Germany,BZN DE-AT-LU,06:00 - 07:00,
2022-12-01,Germany,BZN DE-AT-LU,07:00 - 08:00,
2022-12-01,Germany,BZN DE-AT-LU,08:00 - 09:00,
2022-12-01,Germany,BZN DE-AT-LU,09:00 - 10:00,
2022-12-01,Germany,BZN DE-AT-LU,10:00 - 11:00,
2022-12-01,Germany,BZN DE-AT-LU,11:00 - 12:00,
2022-12-01,Germany,BZN DE-AT-LU,12:00 - 13:00,
2022-12-01,Germany,BZN DE-AT-LU,13:00 - 14:00,
2022-12-01,Germany,BZN DE-AT-LU,14:00 - 15:00,
2022-12-01,Germany,BZN DE-AT-LU,15:00 - 16:00,
2022-12-01,Germany,BZN DE-AT-LU,16:00 - 17:00,
2022-12-01,Germany,BZN DE-AT-LU,17:00 - 18:00,
2022-12-01,Germany,BZN DE-AT-LU,18:00 - 19:00,
